implementation,imageSize,threadCount,gcCount,gcTimeMs
Sequential,small_640x480,1,1,3
ManualThread,small_640x480,1,0,0
ManualThread,small_640x480,2,0,0
ManualThread,small_640x480,4,0,0
ManualThread,small_640x480,8,0,0
ManualThread,small_640x480,16,0,0
ManualThread,small_640x480,24,0,0
ThreadPool,small_640x480,1,0,0
ThreadPool,small_640x480,2,0,0
ThreadPool,small_640x480,4,0,0
ThreadPool,small_640x480,8,0,0
ThreadPool,small_640x480,16,0,0
ThreadPool,small_640x480,24,0,0
ForkJoin,small_640x480,1,0,0
ForkJoin,small_640x480,2,0,0
ForkJoin,small_640x480,4,0,0
ForkJoin,small_640x480,8,0,0
ForkJoin,small_640x480,16,0,0
ForkJoin,small_640x480,24,0,0
CompletableFuture,small_640x480,1,0,0
CompletableFuture,small_640x480,2,0,0
CompletableFuture,small_640x480,4,0,0
CompletableFuture,small_640x480,8,0,0
CompletableFuture,small_640x480,16,0,0
CompletableFuture,small_640x480,24,0,0
Sequential,medium_1280x720,1,0,0
ManualThread,medium_1280x720,1,0,0
ManualThread,medium_1280x720,2,0,0
ManualThread,medium_1280x720,4,0,0
ManualThread,medium_1280x720,8,0,0
ManualThread,medium_1280x720,16,0,0
ManualThread,medium_1280x720,24,0,0
ThreadPool,medium_1280x720,1,0,0
ThreadPool,medium_1280x720,2,0,0
ThreadPool,medium_1280x720,4,0,0
ThreadPool,medium_1280x720,8,0,0
ThreadPool,medium_1280x720,16,0,0
ThreadPool,medium_1280x720,24,0,0
ForkJoin,medium_1280x720,1,0,0
ForkJoin,medium_1280x720,2,0,0
ForkJoin,medium_1280x720,4,0,0
ForkJoin,medium_1280x720,8,0,0
ForkJoin,medium_1280x720,16,0,0
ForkJoin,medium_1280x720,24,0,0
CompletableFuture,medium_1280x720,1,0,0
CompletableFuture,medium_1280x720,2,0,0
CompletableFuture,medium_1280x720,4,0,0
CompletableFuture,medium_1280x720,8,0,0
CompletableFuture,medium_1280x720,16,0,0
CompletableFuture,medium_1280x720,24,0,0
Sequential,large_1920x1080,1,1,13
ManualThread,large_1920x1080,1,0,0
ManualThread,large_1920x1080,2,0,0
ManualThread,large_1920x1080,4,0,0
ManualThread,large_1920x1080,8,0,0
ManualThread,large_1920x1080,16,0,0
ManualThread,large_1920x1080,24,0,0
ThreadPool,large_1920x1080,1,0,0
ThreadPool,large_1920x1080,2,0,0
ThreadPool,large_1920x1080,4,0,0
ThreadPool,large_1920x1080,8,0,0
ThreadPool,large_1920x1080,16,0,0
ThreadPool,large_1920x1080,24,0,0
ForkJoin,large_1920x1080,1,0,0
ForkJoin,large_1920x1080,2,0,0
ForkJoin,large_1920x1080,4,0,0
ForkJoin,large_1920x1080,8,0,0
ForkJoin,large_1920x1080,16,0,0
ForkJoin,large_1920x1080,24,0,0
CompletableFuture,large_1920x1080,1,0,0
CompletableFuture,large_1920x1080,2,0,0
CompletableFuture,large_1920x1080,4,0,0
CompletableFuture,large_1920x1080,8,0,0
CompletableFuture,large_1920x1080,16,0,0
CompletableFuture,large_1920x1080,24,0,0
