implementation,imageSize,threadCount,heapUsedBefore,heapUsedAfter,deltaBytes,deltaMB
Sequential,small_640x480,1,12555528,37131528,24576000,23.44
ManualThread,small_640x480,1,12768544,136500512,123731968,118.00
ManualThread,small_640x480,2,12768624,141743472,128974848,123.00
ManualThread,small_640x480,4,12768704,141743552,128974848,123.00
ManualThread,small_640x480,8,12768784,162715152,149946368,143.00
ManualThread,small_640x480,16,12768864,205706848,192937984,184.00
ManualThread,small_640x480,24,12768944,163763888,150994944,144.00
ThreadPool,small_640x480,1,12799488,136531456,123731968,118.00
ThreadPool,small_640x480,2,12799568,141774416,128974848,123.00
ThreadPool,small_640x480,4,12799648,141774496,128974848,123.00
ThreadPool,small_640x480,8,12799728,162746096,149946368,143.00
ThreadPool,small_640x480,16,12799832,204689240,191889408,183.00
ThreadPool,small_640x480,24,12799912,220417960,207618048,198.00
ForkJoin,small_640x480,1,12806392,136538360,123731968,118.00
ForkJoin,small_640x480,2,12808168,136540136,123731968,118.00
ForkJoin,small_640x480,4,12813344,139691040,126877696,121.00
ForkJoin,small_640x480,8,12823720,139701416,126877696,121.00
ForkJoin,small_640x480,16,12824728,142848152,130023424,124.00
ForkJoin,small_640x480,24,12824808,141799656,128974848,123.00
CompletableFuture,small_640x480,1,12858240,140784512,127926272,122.00
CompletableFuture,small_640x480,2,12858352,139736048,126877696,121.00
CompletableFuture,small_640x480,4,12858432,144979008,132120576,126.00
CompletableFuture,small_640x480,8,12858512,160707728,147849216,141.00
CompletableFuture,small_640x480,16,12858640,202650896,189792256,181.00
CompletableFuture,small_640x480,24,12863408,216287152,203423744,194.00
Sequential,medium_1280x720,1,35033080,404131832,369098752,352.00
ManualThread,medium_1280x720,1,72019392,445312448,373293056,356.00
ManualThread,medium_1280x720,2,35033216,413569152,378535936,361.00
ManualThread,medium_1280x720,4,35033296,424054992,389021696,371.00
ManualThread,medium_1280x720,8,72026016,482019232,409993216,391.00
ManualThread,medium_1280x720,16,35033456,445026672,409993216,391.00
ManualThread,medium_1280x720,24,35033536,486969792,451936256,431.00
ThreadPool,medium_1280x720,1,35033616,408326672,373293056,356.00
ThreadPool,medium_1280x720,2,35033696,413569632,378535936,361.00
ThreadPool,medium_1280x720,4,35033840,424055536,389021696,371.00
ThreadPool,medium_1280x720,8,35033920,445027136,409993216,391.00
ThreadPool,medium_1280x720,16,35035808,447126176,412090368,393.00
ThreadPool,medium_1280x720,24,35035312,486971568,451936256,431.00
ForkJoin,medium_1280x720,1,35034160,405181488,370147328,353.00
ForkJoin,medium_1280x720,2,35034240,405181568,370147328,353.00
ForkJoin,medium_1280x720,4,35034320,406230224,371195904,354.00
ForkJoin,medium_1280x720,8,35034400,406230304,371195904,354.00
ForkJoin,medium_1280x720,16,35034480,408327536,373293056,356.00
ForkJoin,medium_1280x720,24,35034560,409376192,374341632,357.00
CompletableFuture,medium_1280x720,1,35035808,407280288,372244480,355.00
CompletableFuture,medium_1280x720,2,35034720,413570656,378535936,361.00
CompletableFuture,medium_1280x720,4,35035136,423008256,387973120,370.00
CompletableFuture,medium_1280x720,8,35035216,443979856,408944640,390.00
CompletableFuture,medium_1280x720,16,35035296,447125664,412090368,393.00
CompletableFuture,medium_1280x720,24,35037184,486973440,451936256,431.00
Sequential,large_1920x1080,1,76604536,408986552,332382016,316.98
ManualThread,large_1920x1080,1,76604592,910222512,833617920,795.00
ManualThread,large_1920x1080,2,76604672,915465472,838860800,800.00
ManualThread,large_1920x1080,4,76604752,915465552,838860800,800.00
ManualThread,large_1920x1080,8,76604832,915465632,838860800,800.00
ManualThread,large_1920x1080,16,76604912,915465712,838860800,800.00
ManualThread,large_1920x1080,24,76604992,999351872,922746880,880.00
ThreadPool,large_1920x1080,1,76606240,910224160,833617920,795.00
ThreadPool,large_1920x1080,2,76606320,915467120,838860800,800.00
ThreadPool,large_1920x1080,4,76605232,915466032,838860800,800.00
ThreadPool,large_1920x1080,8,76605312,915466112,838860800,800.00
ThreadPool,large_1920x1080,16,76607776,915468576,838860800,800.00
ThreadPool,large_1920x1080,24,76606992,999353872,922746880,880.00
ForkJoin,large_1920x1080,1,76605552,908126320,831520768,793.00
ForkJoin,large_1920x1080,2,76605632,909174976,832569344,794.00
ForkJoin,large_1920x1080,4,76605712,911272208,834666496,796.00
ForkJoin,large_1920x1080,8,76605792,914418016,837812224,799.00
ForkJoin,large_1920x1080,16,76605872,914418096,837812224,799.00
ForkJoin,large_1920x1080,24,76605952,914418176,837812224,799.00
CompletableFuture,large_1920x1080,1,76607200,910225120,833617920,795.00
CompletableFuture,large_1920x1080,2,76607568,915468368,838860800,800.00
CompletableFuture,large_1920x1080,4,76607936,915468736,838860800,800.00
CompletableFuture,large_1920x1080,8,76606272,915467072,838860800,800.00
CompletableFuture,large_1920x1080,16,76607936,915468736,838860800,800.00
CompletableFuture,large_1920x1080,24,76606928,999353808,922746880,880.00
