implementation,imageSize,threadCount,avgNanos,minNanos,maxNanos,avgMs
Sequential,small_640x480,1,3690370,2829700,6854400,3.6904
ManualThread,small_640x480,1,3654860,3175300,4778500,3.6549
ManualThread,small_640x480,2,2569450,1963500,4291900,2.5695
ManualThread,small_640x480,4,2002810,1537600,2342600,2.0028
ManualThread,small_640x480,8,2153190,1713500,2521700,2.1532
ManualThread,small_640x480,16,3111760,2727800,3844900,3.1118
ManualThread,small_640x480,24,4232780,3671400,5176800,4.2328
ThreadPool,small_640x480,1,3892550,3405000,4545500,3.8926
ThreadPool,small_640x480,2,2600390,2143100,3861900,2.6004
ThreadPool,small_640x480,4,2332520,2116500,2632500,2.3325
ThreadPool,small_640x480,8,2152760,1645800,2524400,2.1528
ThreadPool,small_640x480,16,2547550,2177600,3052600,2.5476
ThreadPool,small_640x480,24,3024190,2334100,3906300,3.0242
ForkJoin,small_640x480,1,1670760,1458800,2135200,1.6708
ForkJoin,small_640x480,2,1174730,908100,1325500,1.1747
ForkJoin,small_640x480,4,999810,824000,1178900,0.9998
ForkJoin,small_640x480,8,1036730,890300,1297300,1.0367
ForkJoin,small_640x480,16,1130570,855800,1807900,1.1306
ForkJoin,small_640x480,24,1113990,865500,1536400,1.1140
CompletableFuture,small_640x480,1,3547980,3277100,4246300,3.5480
CompletableFuture,small_640x480,2,2067970,1888400,2384100,2.0680
CompletableFuture,small_640x480,4,1785520,1381800,2165500,1.7855
CompletableFuture,small_640x480,8,1932320,1575800,2616500,1.9323
CompletableFuture,small_640x480,16,2437170,2137900,2783700,2.4372
CompletableFuture,small_640x480,24,2919830,2307300,3330900,2.9198
Sequential,medium_1280x720,1,9272530,8436400,10520300,9.2725
ManualThread,medium_1280x720,1,9152730,8945300,9418300,9.1527
ManualThread,medium_1280x720,2,5616460,5100400,6653800,5.6165
ManualThread,medium_1280x720,4,4232800,3557500,4770600,4.2328
ManualThread,medium_1280x720,8,3497840,3007300,4244800,3.4978
ManualThread,medium_1280x720,16,4154340,3933100,4607000,4.1543
ManualThread,medium_1280x720,24,5241310,4788200,5753300,5.2413
ThreadPool,medium_1280x720,1,9049810,8780800,9950100,9.0498
ThreadPool,medium_1280x720,2,5028810,4802900,5455400,5.0288
ThreadPool,medium_1280x720,4,3632230,2984700,4508800,3.6322
ThreadPool,medium_1280x720,8,3421300,2970700,4164400,3.4213
ThreadPool,medium_1280x720,16,4134210,3588700,5125600,4.1342
ThreadPool,medium_1280x720,24,4703390,4396100,5142300,4.7034
ForkJoin,medium_1280x720,1,4415690,4284900,4640500,4.4157
ForkJoin,medium_1280x720,2,3408960,2601800,4315700,3.4090
ForkJoin,medium_1280x720,4,2735140,2293200,3346300,2.7351
ForkJoin,medium_1280x720,8,2799110,2587800,3083800,2.7991
ForkJoin,medium_1280x720,16,2764980,2457600,3216300,2.7650
ForkJoin,medium_1280x720,24,2745750,2530500,3322100,2.7458
CompletableFuture,medium_1280x720,1,9204350,8804900,9941700,9.2044
CompletableFuture,medium_1280x720,2,5030630,4701200,5530600,5.0306
CompletableFuture,medium_1280x720,4,3811820,2931000,4740700,3.8118
CompletableFuture,medium_1280x720,8,3430190,3160600,3976300,3.4302
CompletableFuture,medium_1280x720,16,3906570,3473400,4543500,3.9066
CompletableFuture,medium_1280x720,24,4600240,4091700,4948200,4.6002
Sequential,large_1920x1080,1,20980670,18971000,36253100,20.9807
ManualThread,large_1920x1080,1,21884960,20130400,27407700,21.8850
ManualThread,large_1920x1080,2,10786560,10471800,11249200,10.7866
ManualThread,large_1920x1080,4,8047710,6608200,9185900,8.0477
ManualThread,large_1920x1080,8,6988480,6490500,7614500,6.9885
ManualThread,large_1920x1080,16,6975550,6558900,7498000,6.9756
ManualThread,large_1920x1080,24,7651310,7109400,8150900,7.6513
ThreadPool,large_1920x1080,1,20137810,19288600,21836700,20.1378
ThreadPool,large_1920x1080,2,11786050,10236100,14399200,11.7861
ThreadPool,large_1920x1080,4,6925460,6111800,7927600,6.9255
ThreadPool,large_1920x1080,8,6515140,5876300,7161800,6.5151
ThreadPool,large_1920x1080,16,6928200,6418200,7383600,6.9282
ThreadPool,large_1920x1080,24,7247630,6735900,8069700,7.2476
ForkJoin,large_1920x1080,1,10882200,10041600,12121400,10.8822
ForkJoin,large_1920x1080,2,6482720,5950200,7106600,6.4827
ForkJoin,large_1920x1080,4,5973950,5399200,6958000,5.9740
ForkJoin,large_1920x1080,8,6103150,5849000,6621600,6.1032
ForkJoin,large_1920x1080,16,6166170,5862700,6678700,6.1662
ForkJoin,large_1920x1080,24,5958550,5749300,6387400,5.9586
CompletableFuture,large_1920x1080,1,20033350,19338400,21305300,20.0334
CompletableFuture,large_1920x1080,2,12810410,10388200,19027000,12.8104
CompletableFuture,large_1920x1080,4,7141540,6108000,8070000,7.1415
CompletableFuture,large_1920x1080,8,6620550,6085600,7297000,6.6206
CompletableFuture,large_1920x1080,16,7135400,6480600,7870100,7.1354
CompletableFuture,large_1920x1080,24,7080490,6557500,7517300,7.0805
