implementation,imageSize,threadCount,heapUsedBefore,heapUsedAfter,deltaBytes,deltaMB
Sequential,small_640x480,1,23285816,141515016,118229200,112.75
ManualThread,small_640x480,1,23497848,152477208,128979360,123.00
ManualThread,small_640x480,2,23497928,259956328,236458400,225.50
ManualThread,small_640x480,4,18573688,471793208,453219520,432.22
ManualThread,small_640x480,8,17058456,385461880,368403424,351.34
ManualThread,small_640x480,16,14845488,410705008,395859520,377.52
ManualThread,small_640x480,24,13839792,299989168,286149376,272.89
ThreadPool,small_640x480,1,13316272,167925840,154609568,147.45
ThreadPool,small_640x480,2,13316352,167936000,154619648,147.46
ThreadPool,small_640x480,4,13315272,557712040,544396768,519.18
ThreadPool,small_640x480,8,13311600,384351776,371040176,353.85
ThreadPool,small_640x480,16,13376800,322141024,308764224,294.46
ThreadPool,small_640x480,24,13232496,69802200,56569704,53.95
ForkJoin,small_640x480,1,13123480,138659192,125535712,119.72
ForkJoin,small_640x480,2,13126104,141539552,128413448,122.46
ForkJoin,small_640x480,4,13130432,143967392,130836960,124.78
ForkJoin,small_640x480,8,13137384,153471352,140333968,133.83
ForkJoin,small_640x480,16,13141816,157673512,144531696,137.84
ForkJoin,small_640x480,24,13141896,155410576,142268680,135.68
CompletableFuture,small_640x480,1,13175328,140872544,127697216,121.78
CompletableFuture,small_640x480,2,13174560,150505136,137330576,130.97
CompletableFuture,small_640x480,4,13174640,160467432,147292792,140.47
CompletableFuture,small_640x480,8,13174720,227878952,214704232,204.76
CompletableFuture,small_640x480,16,13174848,457023720,443848872,423.29
CompletableFuture,small_640x480,24,13178768,169396216,156217448,148.98
Sequential,medium_1280x720,1,35269504,405099896,369830392,352.70
ManualThread,medium_1280x720,1,38905360,446646336,407740976,388.85
ManualThread,medium_1280x720,2,38346488,527009072,488662584,466.02
ManualThread,medium_1280x720,4,37842016,648653456,610811440,582.52
ManualThread,medium_1280x720,8,37446832,331467688,294020856,280.40
ManualThread,medium_1280x720,16,36773928,155457096,118683168,113.19
ManualThread,medium_1280x720,24,36381632,430581440,394199808,375.94
ThreadPool,medium_1280x720,1,36276408,415600248,379323840,361.75
ThreadPool,medium_1280x720,2,36693024,504388512,467695488,446.03
ThreadPool,medium_1280x720,4,36773744,635521936,598748192,571.01
ThreadPool,medium_1280x720,8,36706960,461269296,424562336,404.89
ThreadPool,medium_1280x720,16,36775176,486603384,449828208,428.99
ThreadPool,medium_1280x720,24,36815480,615733048,578917568,552.10
ForkJoin,medium_1280x720,1,37063360,407128424,370065064,352.92
ForkJoin,medium_1280x720,2,38885064,407929200,369044136,351.95
ForkJoin,medium_1280x720,4,39249680,408896184,369646504,352.52
ForkJoin,medium_1280x720,8,39064080,415814792,376750712,359.30
ForkJoin,medium_1280x720,16,38736704,413172808,374436104,357.09
ForkJoin,medium_1280x720,24,38489024,414958816,376469792,359.03
CompletableFuture,medium_1280x720,1,38188552,412521936,374333384,356.99
CompletableFuture,medium_1280x720,2,37518984,414939000,377420016,359.94
CompletableFuture,medium_1280x720,4,37084104,412633392,375549288,358.15
CompletableFuture,medium_1280x720,8,36788032,471810912,435022880,414.87
CompletableFuture,medium_1280x720,16,36541960,667395888,630853928,601.63
CompletableFuture,medium_1280x720,24,36288272,140706240,104417968,99.58
Sequential,large_1920x1080,1,77548248,242899024,165350776,157.69
ManualThread,large_1920x1080,1,82362736,330427264,248064528,236.57
ManualThread,large_1920x1080,2,80454696,343904264,263449568,251.25
ManualThread,large_1920x1080,4,78870112,578111416,499241304,476.11
ManualThread,large_1920x1080,8,78595320,594733800,516138480,492.23
ManualThread,large_1920x1080,16,78453768,603246280,524792512,500.48
ManualThread,large_1920x1080,24,78367000,164863416,86496416,82.49
ThreadPool,large_1920x1080,1,78333832,422724424,344390592,328.44
ThreadPool,large_1920x1080,2,78529488,420942800,342413312,326.55
ThreadPool,large_1920x1080,4,78590880,443777912,365187032,348.27
ThreadPool,large_1920x1080,8,78614896,447197320,368582424,351.51
ThreadPool,large_1920x1080,16,78624240,421102856,342478616,326.61
ThreadPool,large_1920x1080,24,78627688,536754096,458126408,436.90
ForkJoin,large_1920x1080,1,79047224,412230872,333183648,317.75
ForkJoin,large_1920x1080,2,80954376,412914312,331959936,316.58
ForkJoin,large_1920x1080,4,80701912,416031120,335329208,319.79
ForkJoin,large_1920x1080,8,80110968,416433624,336322656,320.74
ForkJoin,large_1920x1080,16,79595744,419806352,340210608,324.45
ForkJoin,large_1920x1080,24,79327576,416283936,336956360,321.35
CompletableFuture,large_1920x1080,1,78883192,412480608,333597416,318.14
CompletableFuture,large_1920x1080,2,78138648,419333104,341194456,325.39
CompletableFuture,large_1920x1080,4,77807368,431841704,354034336,337.63
CompletableFuture,large_1920x1080,8,77653104,449456240,371803136,354.58
CompletableFuture,large_1920x1080,16,77545048,614969312,537424264,512.53
CompletableFuture,large_1920x1080,24,77442920,444713800,367270880,350.26
