implementation,imageSize,threadCount,avgNanos,minNanos,maxNanos,avgMs
Sequential,small_640x480,1,3279960,2597500,3909800,3.2800
ManualThread,small_640x480,1,3286450,3127100,3599600,3.2865
ManualThread,small_640x480,2,2158350,1845400,2530800,2.1584
ManualThread,small_640x480,4,2068540,1806600,2391200,2.0685
ManualThread,small_640x480,8,2401830,1880800,4360700,2.4018
ManualThread,small_640x480,16,3569520,2837400,5432800,3.5695
ManualThread,small_640x480,24,4800320,4201900,5423500,4.8003
ThreadPool,small_640x480,1,3984820,3479000,4825200,3.9848
ThreadPool,small_640x480,2,2395160,2007800,2931600,2.3952
ThreadPool,small_640x480,4,2089680,1701000,2412500,2.0897
ThreadPool,small_640x480,8,2084280,1770800,2789600,2.0843
ThreadPool,small_640x480,16,2613030,2073700,3071600,2.6130
ThreadPool,small_640x480,24,3361450,2773000,4433400,3.3615
ForkJoin,small_640x480,1,1851510,1551400,2220100,1.8515
ForkJoin,small_640x480,2,1284340,1068200,1597300,1.2843
ForkJoin,small_640x480,4,983050,814700,1259000,0.9831
ForkJoin,small_640x480,8,1034820,855500,1306700,1.0348
ForkJoin,small_640x480,16,1031490,825200,1254100,1.0315
ForkJoin,small_640x480,24,1056190,810100,1326500,1.0562
CompletableFuture,small_640x480,1,3560750,3341100,3835400,3.5608
CompletableFuture,small_640x480,2,2287020,1982700,2987500,2.2870
CompletableFuture,small_640x480,4,1993090,1568400,3017400,1.9931
CompletableFuture,small_640x480,8,1983930,1685500,2452500,1.9839
CompletableFuture,small_640x480,16,2489270,2055200,3249500,2.4893
CompletableFuture,small_640x480,24,3213960,2684000,4262100,3.2140
Sequential,medium_1280x720,1,8272400,7833000,9956500,8.2724
ManualThread,medium_1280x720,1,9007450,8686300,9697000,9.0075
ManualThread,medium_1280x720,2,5088560,4783800,5867200,5.0886
ManualThread,medium_1280x720,4,3738790,3111600,4385400,3.7388
ManualThread,medium_1280x720,8,4737760,3362500,14635600,4.7378
ManualThread,medium_1280x720,16,4578190,3892900,7808200,4.5782
ManualThread,medium_1280x720,24,5376370,4810300,8136400,5.3764
ThreadPool,medium_1280x720,1,9361010,8698700,12178700,9.3610
ThreadPool,medium_1280x720,2,5186230,4813700,6642600,5.1862
ThreadPool,medium_1280x720,4,3968050,2863400,4925200,3.9681
ThreadPool,medium_1280x720,8,3487980,3269500,3957100,3.4880
ThreadPool,medium_1280x720,16,3969780,3528900,4428100,3.9698
ThreadPool,medium_1280x720,24,4497210,4046900,5239000,4.4972
ForkJoin,medium_1280x720,1,4719720,4402500,5818400,4.7197
ForkJoin,medium_1280x720,2,4938450,3685600,8400800,4.9385
ForkJoin,medium_1280x720,4,3121440,2487800,3807000,3.1214
ForkJoin,medium_1280x720,8,2855340,2643600,3195600,2.8553
ForkJoin,medium_1280x720,16,2818910,2576400,3404300,2.8189
ForkJoin,medium_1280x720,24,2831530,2449000,3764400,2.8315
CompletableFuture,medium_1280x720,1,9310710,9024500,10208700,9.3107
CompletableFuture,medium_1280x720,2,5185920,4856700,6198000,5.1859
CompletableFuture,medium_1280x720,4,3523100,3043800,4076400,3.5231
CompletableFuture,medium_1280x720,8,3333090,2951200,4316000,3.3331
CompletableFuture,medium_1280x720,16,4053640,3610200,4567800,4.0536
CompletableFuture,medium_1280x720,24,4917540,4395500,5918800,4.9175
Sequential,large_1920x1080,1,18199540,17593700,21522400,18.1995
ManualThread,large_1920x1080,1,21715900,19155000,39329000,21.7159
ManualThread,large_1920x1080,2,10873610,9718300,17214400,10.8736
ManualThread,large_1920x1080,4,7569160,6426600,9076000,7.5692
ManualThread,large_1920x1080,8,7018900,6136800,10696100,7.0189
ManualThread,large_1920x1080,16,7360480,6128500,9909600,7.3605
ManualThread,large_1920x1080,24,7903500,6976600,11441800,7.9035
ThreadPool,large_1920x1080,1,20020790,19146900,25827900,20.0208
ThreadPool,large_1920x1080,2,10532210,9610100,15461800,10.5322
ThreadPool,large_1920x1080,4,7250340,5784800,11285000,7.2503
ThreadPool,large_1920x1080,8,6786860,5936200,11595100,6.7869
ThreadPool,large_1920x1080,16,7202100,6150000,11951400,7.2021
ThreadPool,large_1920x1080,24,7704770,6403600,12953700,7.7048
ForkJoin,large_1920x1080,1,10650410,9884800,15371100,10.6504
ForkJoin,large_1920x1080,2,6662450,5373700,9800900,6.6625
ForkJoin,large_1920x1080,4,6151090,5105600,9374500,6.1511
ForkJoin,large_1920x1080,8,6417070,5555500,10663100,6.4171
ForkJoin,large_1920x1080,16,6452210,5536800,11764000,6.4522
ForkJoin,large_1920x1080,24,6294940,5438500,11744900,6.2949
CompletableFuture,large_1920x1080,1,20907330,19695300,26305500,20.9073
CompletableFuture,large_1920x1080,2,11397500,10463100,18033300,11.3975
CompletableFuture,large_1920x1080,4,7401070,6023000,10531900,7.4011
CompletableFuture,large_1920x1080,8,6439340,5871400,7364800,6.4393
CompletableFuture,large_1920x1080,16,6851680,6286200,7989600,6.8517
CompletableFuture,large_1920x1080,24,7724590,6915600,9369900,7.7246
