implementation,imageSize,threadCount,gcCount,gcTimeMs
Sequential,small_640x480,1,0,0
ManualThread,small_640x480,1,0,0
ManualThread,small_640x480,2,0,0
ManualThread,small_640x480,4,0,0
ManualThread,small_640x480,8,1,2
ManualThread,small_640x480,16,1,1
ManualThread,small_640x480,24,2,2
ThreadPool,small_640x480,1,0,0
ThreadPool,small_640x480,2,0,0
ThreadPool,small_640x480,4,0,0
ThreadPool,small_640x480,8,0,0
ThreadPool,small_640x480,16,1,0
ThreadPool,small_640x480,24,2,1
ForkJoin,small_640x480,1,0,0
ForkJoin,small_640x480,2,0,0
ForkJoin,small_640x480,4,0,0
ForkJoin,small_640x480,8,0,0
ForkJoin,small_640x480,16,0,0
ForkJoin,small_640x480,24,0,0
CompletableFuture,small_640x480,1,0,0
CompletableFuture,small_640x480,2,0,0
CompletableFuture,small_640x480,4,0,0
CompletableFuture,small_640x480,8,0,0
CompletableFuture,small_640x480,16,0,0
CompletableFuture,small_640x480,24,1,1
Sequential,medium_1280x720,1,0,0
ManualThread,medium_1280x720,1,0,0
ManualThread,medium_1280x720,2,0,0
ManualThread,medium_1280x720,4,0,0
ManualThread,medium_1280x720,8,0,0
ManualThread,medium_1280x720,16,1,4
ManualThread,medium_1280x720,24,1,9
ThreadPool,medium_1280x720,1,0,0
ThreadPool,medium_1280x720,2,0,0
ThreadPool,medium_1280x720,4,0,0
ThreadPool,medium_1280x720,8,0,0
ThreadPool,medium_1280x720,16,0,0
ThreadPool,medium_1280x720,24,1,2
ForkJoin,medium_1280x720,1,0,0
ForkJoin,medium_1280x720,2,0,0
ForkJoin,medium_1280x720,4,0,0
ForkJoin,medium_1280x720,8,0,0
ForkJoin,medium_1280x720,16,0,0
ForkJoin,medium_1280x720,24,0,0
CompletableFuture,medium_1280x720,1,0,0
CompletableFuture,medium_1280x720,2,0,0
CompletableFuture,medium_1280x720,4,0,0
CompletableFuture,medium_1280x720,8,0,0
CompletableFuture,medium_1280x720,16,0,0
CompletableFuture,medium_1280x720,24,1,0
Sequential,large_1920x1080,1,1,27
ManualThread,large_1920x1080,1,1,17
ManualThread,large_1920x1080,2,1,14
ManualThread,large_1920x1080,4,1,14
ManualThread,large_1920x1080,8,1,6
ManualThread,large_1920x1080,16,1,14
ManualThread,large_1920x1080,24,1,4
ThreadPool,large_1920x1080,1,1,14
ThreadPool,large_1920x1080,2,1,14
ThreadPool,large_1920x1080,4,1,14
ThreadPool,large_1920x1080,8,1,14
ThreadPool,large_1920x1080,16,1,1
ThreadPool,large_1920x1080,24,1,2
ForkJoin,large_1920x1080,1,1,21
ForkJoin,large_1920x1080,2,1,18
ForkJoin,large_1920x1080,4,1,19
ForkJoin,large_1920x1080,8,1,18
ForkJoin,large_1920x1080,16,1,18
ForkJoin,large_1920x1080,24,1,21
CompletableFuture,large_1920x1080,1,1,19
CompletableFuture,large_1920x1080,2,1,17
CompletableFuture,large_1920x1080,4,1,10
CompletableFuture,large_1920x1080,8,1,2
CompletableFuture,large_1920x1080,16,2,3
CompletableFuture,large_1920x1080,24,1,2
