implementation,imageSize,threadCount,heapUsedBefore,heapUsedAfter,deltaBytes,deltaMB
Sequential,small_640x480,1,24002760,138533640,114530880,109.23
ManualThread,small_640x480,1,24218904,161660088,137441184,131.07
ManualThread,small_640x480,2,24219000,276190904,251971904,240.30
ManualThread,small_640x480,4,18939112,501826760,482887648,460.52
ManualThread,small_640x480,8,16982536,380139408,363156872,346.33
ManualThread,small_640x480,16,14705712,385001288,370295576,353.14
ManualThread,small_640x480,24,13744656,212827776,199083120,189.86
ThreadPool,small_640x480,1,13329840,152625800,139295960,132.84
ThreadPool,small_640x480,2,13329936,152635976,139306040,132.85
ThreadPool,small_640x480,4,13331192,496250032,482918840,460.55
ThreadPool,small_640x480,8,13323584,343772224,330448640,315.14
ThreadPool,small_640x480,16,13381984,284708720,271326736,258.76
ThreadPool,small_640x480,24,13226984,235738136,222511152,212.20
ForkJoin,small_640x480,1,13097728,140650456,127552728,121.64
ForkJoin,small_640x480,2,13099520,146442688,133343168,127.17
ForkJoin,small_640x480,4,13104536,158346248,145241712,138.51
ForkJoin,small_640x480,8,13113296,160654208,147540912,140.71
ForkJoin,small_640x480,16,13116032,160798368,147682336,140.84
ForkJoin,small_640x480,24,13116128,167875624,154759496,147.59
CompletableFuture,small_640x480,1,13149432,140187752,127038320,121.15
CompletableFuture,small_640x480,2,13150608,148358208,135207600,128.94
CompletableFuture,small_640x480,4,13150704,140177104,127026400,121.14
CompletableFuture,small_640x480,8,13150800,199391592,186240792,177.61
CompletableFuture,small_640x480,16,13267176,413003392,399736216,381.22
CompletableFuture,small_640x480,24,13233728,148629808,135396080,129.12
Sequential,medium_1280x720,1,46379192,416148440,369769248,352.64
ManualThread,medium_1280x720,1,38353592,453041096,414687504,395.48
ManualThread,medium_1280x720,2,37880368,454276568,416396200,397.11
ManualThread,medium_1280x720,4,37539352,414920088,377380736,359.90
ManualThread,medium_1280x720,8,37424120,569192440,531768320,507.13
ManualThread,medium_1280x720,16,37138968,148491176,111352208,106.19
ManualThread,medium_1280x720,24,36560056,484947200,448387144,427.62
ThreadPool,medium_1280x720,1,36238808,415282872,379044064,361.48
ThreadPool,medium_1280x720,2,36578152,454182728,417604576,398.26
ThreadPool,medium_1280x720,4,36693600,568933960,532240360,507.58
ThreadPool,medium_1280x720,8,36638000,415483536,378845536,361.30
ThreadPool,medium_1280x720,16,36706216,492278744,455572528,434.47
ThreadPool,medium_1280x720,24,36698936,167175144,130476208,124.43
ForkJoin,medium_1280x720,1,36536992,406096520,369559528,352.44
ForkJoin,medium_1280x720,2,38188192,409357704,371169512,353.97
ForkJoin,medium_1280x720,4,38558016,412419432,373861416,356.54
ForkJoin,medium_1280x720,8,38426160,413515152,375088992,357.71
ForkJoin,medium_1280x720,16,38167952,419331424,381163472,363.51
ForkJoin,medium_1280x720,24,37973560,415454712,377481152,359.99
CompletableFuture,medium_1280x720,1,37737144,411765544,374028400,356.70
CompletableFuture,medium_1280x720,2,37166840,416025112,378858272,361.31
CompletableFuture,medium_1280x720,4,36784040,416748040,379964000,362.36
CompletableFuture,medium_1280x720,8,36541256,416367800,379826544,362.23
CompletableFuture,medium_1280x720,16,36378064,579957536,543579472,518.40
CompletableFuture,medium_1280x720,24,36176760,88019784,51843024,49.44
Sequential,large_1920x1080,1,81128616,411438472,330309856,315.01
ManualThread,large_1920x1080,1,86223520,422990160,336766640,321.17
ManualThread,large_1920x1080,2,83473600,425287344,341813744,325.98
ManualThread,large_1920x1080,4,79510368,443443728,363933360,347.07
ManualThread,large_1920x1080,8,78979936,437952248,358972312,342.34
ManualThread,large_1920x1080,16,78756488,432534992,353778504,337.39
ManualThread,large_1920x1080,24,78663072,494979168,416316096,397.03
ThreadPool,large_1920x1080,1,78563224,416058392,337495168,321.86
ThreadPool,large_1920x1080,2,78626568,419153744,340527176,324.75
ThreadPool,large_1920x1080,4,78621592,443393032,364771440,347.87
ThreadPool,large_1920x1080,8,78605128,443419640,364814512,347.91
ThreadPool,large_1920x1080,16,78597216,438061744,359464528,342.81
ThreadPool,large_1920x1080,24,78516240,464110640,385594400,367.73
ForkJoin,large_1920x1080,1,79084616,412344328,333259712,317.82
ForkJoin,large_1920x1080,2,82017624,415067624,333050000,317.62
ForkJoin,large_1920x1080,4,80849992,415015704,334165712,318.69
ForkJoin,large_1920x1080,8,80167160,415172512,335005352,319.49
ForkJoin,large_1920x1080,16,79600248,415500904,335900656,320.34
ForkJoin,large_1920x1080,24,79345688,416181584,336835896,321.23
CompletableFuture,large_1920x1080,1,78933792,412015192,333081400,317.65
CompletableFuture,large_1920x1080,2,78158920,414058168,335899248,320.34
CompletableFuture,large_1920x1080,4,77825776,429394136,351568360,335.28
CompletableFuture,large_1920x1080,8,82096832,448797640,366700808,349.71
CompletableFuture,large_1920x1080,16,77535280,292573176,215037896,205.08
CompletableFuture,large_1920x1080,24,86357864,461293024,374935160,357.57
