implementation,imageSize,threadCount,avgNanos,minNanos,maxNanos,avgMs
Sequential,small_640x480,1,3074330,2564300,3570600,3.0743
ManualThread,small_640x480,1,3208420,2925000,3884200,3.2084
ManualThread,small_640x480,2,2287570,1782300,3032100,2.2876
ManualThread,small_640x480,4,2018890,1679400,2578100,2.0189
ManualThread,small_640x480,8,2570060,1824800,5183200,2.5701
ManualThread,small_640x480,16,3285550,2760300,4030900,3.2856
ManualThread,small_640x480,24,5570010,4786400,9141300,5.5700
ThreadPool,small_640x480,1,3528130,3321900,4252900,3.5281
ThreadPool,small_640x480,2,2413940,1912700,3069100,2.4139
ThreadPool,small_640x480,4,2165370,1786100,2827800,2.1654
ThreadPool,small_640x480,8,2210740,1628800,3106000,2.2107
ThreadPool,small_640x480,16,2704970,2099400,3536600,2.7050
ThreadPool,small_640x480,24,3250630,2392000,4987200,3.2506
ForkJoin,small_640x480,1,1897990,1652400,2418900,1.8980
ForkJoin,small_640x480,2,1335930,1210600,1480100,1.3359
ForkJoin,small_640x480,4,1128070,854100,1562300,1.1281
ForkJoin,small_640x480,8,1023520,884700,1351100,1.0235
ForkJoin,small_640x480,16,1030750,877100,1257800,1.0308
ForkJoin,small_640x480,24,1144630,982400,1536000,1.1446
CompletableFuture,small_640x480,1,3627100,3376100,3977800,3.6271
CompletableFuture,small_640x480,2,2383030,1944000,2862000,2.3830
CompletableFuture,small_640x480,4,1929270,1431500,2310600,1.9293
CompletableFuture,small_640x480,8,2106410,1834200,2441200,2.1064
CompletableFuture,small_640x480,16,2577050,2184300,3463200,2.5771
CompletableFuture,small_640x480,24,3114890,2361300,3789200,3.1149
Sequential,medium_1280x720,1,8100670,7876400,8922300,8.1007
ManualThread,medium_1280x720,1,9036690,8780900,9592300,9.0367
ManualThread,medium_1280x720,2,4952650,4530500,5487400,4.9527
ManualThread,medium_1280x720,4,3971330,3183500,4279400,3.9713
ManualThread,medium_1280x720,8,3417330,3115500,4037800,3.4173
ManualThread,medium_1280x720,16,4437110,3579600,8669000,4.4371
ManualThread,medium_1280x720,24,5895250,4256800,15809300,5.8953
ThreadPool,medium_1280x720,1,8945640,8658500,9366700,8.9456
ThreadPool,medium_1280x720,2,4765610,4591300,5066700,4.7656
ThreadPool,medium_1280x720,4,3589510,2923000,4200300,3.5895
ThreadPool,medium_1280x720,8,3641620,3278600,5158200,3.6416
ThreadPool,medium_1280x720,16,3932600,3513600,4468600,3.9326
ThreadPool,medium_1280x720,24,7576500,5186900,11482000,7.5765
ForkJoin,medium_1280x720,1,4789750,4372300,6177400,4.7898
ForkJoin,medium_1280x720,2,3726720,3260700,4516200,3.7267
ForkJoin,medium_1280x720,4,2697300,2378900,2986900,2.6973
ForkJoin,medium_1280x720,8,2724560,2553200,3118300,2.7246
ForkJoin,medium_1280x720,16,2643480,2509000,2908600,2.6435
ForkJoin,medium_1280x720,24,2774610,2544300,3356900,2.7746
CompletableFuture,medium_1280x720,1,9334740,9006900,9909400,9.3347
CompletableFuture,medium_1280x720,2,5500720,4884500,6314100,5.5007
CompletableFuture,medium_1280x720,4,3504570,3032400,4646700,3.5046
CompletableFuture,medium_1280x720,8,3284280,2980700,3843700,3.2843
CompletableFuture,medium_1280x720,16,3828420,3620100,4197100,3.8284
CompletableFuture,medium_1280x720,24,4476780,4053200,5206500,4.4768
Sequential,large_1920x1080,1,20236510,16490900,44922300,20.2365
ManualThread,large_1920x1080,1,19875010,17536700,36380800,19.8750
ManualThread,large_1920x1080,2,11350220,9294300,24975700,11.3502
ManualThread,large_1920x1080,4,8200790,6079500,21331400,8.2008
ManualThread,large_1920x1080,8,7064510,6053200,12712100,7.0645
ManualThread,large_1920x1080,16,8175610,6312400,21493100,8.1756
ManualThread,large_1920x1080,24,7776710,6870200,12124000,7.7767
ThreadPool,large_1920x1080,1,19688150,17573800,32191500,19.6882
ThreadPool,large_1920x1080,2,11169340,9272500,23720700,11.1693
ThreadPool,large_1920x1080,4,8060500,5651600,22871600,8.0605
ThreadPool,large_1920x1080,8,7759950,6089000,20708200,7.7600
ThreadPool,large_1920x1080,16,7298290,6558000,7785500,7.2983
ThreadPool,large_1920x1080,24,8122560,7298300,9987300,8.1226
ForkJoin,large_1920x1080,1,11859930,9465500,30756700,11.8599
ForkJoin,large_1920x1080,2,9116490,6562800,26419000,9.1165
ForkJoin,large_1920x1080,4,8408160,5658900,26269300,8.4082
ForkJoin,large_1920x1080,8,8129280,5919600,24871300,8.1293
ForkJoin,large_1920x1080,16,7798810,5745200,23659600,7.7988
ForkJoin,large_1920x1080,24,8166840,5743600,27941900,8.1668
CompletableFuture,large_1920x1080,1,22268020,19983100,38467600,22.2680
CompletableFuture,large_1920x1080,2,13569400,10514300,28486300,13.5694
CompletableFuture,large_1920x1080,4,8551840,5896400,17589500,8.5518
CompletableFuture,large_1920x1080,8,6973210,6399400,8722000,6.9732
CompletableFuture,large_1920x1080,16,7175750,6235400,8853400,7.1758
CompletableFuture,large_1920x1080,24,7625560,6801200,9527200,7.6256
