implementation,imageSize,threadCount,gcCount,gcTimeMs
Sequential,small_640x480,1,0,0
ManualThread,small_640x480,1,0,0
ManualThread,small_640x480,2,0,0
ManualThread,small_640x480,4,0,0
ManualThread,small_640x480,8,0,0
ManualThread,small_640x480,16,0,0
ManualThread,small_640x480,24,0,0
ThreadPool,small_640x480,1,0,0
ThreadPool,small_640x480,2,0,0
ThreadPool,small_640x480,4,0,0
ThreadPool,small_640x480,8,0,0
ThreadPool,small_640x480,16,0,0
ThreadPool,small_640x480,24,0,0
ForkJoin,small_640x480,1,0,0
ForkJoin,small_640x480,2,0,0
ForkJoin,small_640x480,4,0,0
ForkJoin,small_640x480,8,0,0
ForkJoin,small_640x480,16,0,0
ForkJoin,small_640x480,24,0,0
CompletableFuture,small_640x480,1,0,0
CompletableFuture,small_640x480,2,0,0
CompletableFuture,small_640x480,4,0,0
CompletableFuture,small_640x480,8,0,0
CompletableFuture,small_640x480,16,0,0
CompletableFuture,small_640x480,24,0,0
Sequential,medium_1280x720,1,6,52
ManualThread,medium_1280x720,1,1,0
ManualThread,medium_1280x720,2,5,0
ManualThread,medium_1280x720,4,0,0
ManualThread,medium_1280x720,8,0,0
ManualThread,medium_1280x720,16,0,0
ManualThread,medium_1280x720,24,5,0
ThreadPool,medium_1280x720,1,0,0
ThreadPool,medium_1280x720,2,0,0
ThreadPool,medium_1280x720,4,9,21
ThreadPool,medium_1280x720,8,4,13
ThreadPool,medium_1280x720,16,0,0
ThreadPool,medium_1280x720,24,0,0
ForkJoin,medium_1280x720,1,0,0
ForkJoin,medium_1280x720,2,0,0
ForkJoin,medium_1280x720,4,0,0
ForkJoin,medium_1280x720,8,0,0
ForkJoin,medium_1280x720,16,0,0
ForkJoin,medium_1280x720,24,0,0
CompletableFuture,medium_1280x720,1,0,0
CompletableFuture,medium_1280x720,2,0,0
CompletableFuture,medium_1280x720,4,0,0
CompletableFuture,medium_1280x720,8,0,0
CompletableFuture,medium_1280x720,16,0,0
CompletableFuture,medium_1280x720,24,0,0
Sequential,large_1920x1080,1,4,7
ManualThread,large_1920x1080,1,0,0
ManualThread,large_1920x1080,2,5,0
ManualThread,large_1920x1080,4,5,0
ManualThread,large_1920x1080,8,5,0
ManualThread,large_1920x1080,16,5,0
ManualThread,large_1920x1080,24,5,0
ThreadPool,large_1920x1080,1,24,206
ThreadPool,large_1920x1080,2,8,20
ThreadPool,large_1920x1080,4,4,37
ThreadPool,large_1920x1080,8,4,17
ThreadPool,large_1920x1080,16,1,0
ThreadPool,large_1920x1080,24,5,39
ForkJoin,large_1920x1080,1,4,35
ForkJoin,large_1920x1080,2,2,0
ForkJoin,large_1920x1080,4,1,0
ForkJoin,large_1920x1080,8,2,0
ForkJoin,large_1920x1080,16,5,40
ForkJoin,large_1920x1080,24,7,42
CompletableFuture,large_1920x1080,1,8,38
CompletableFuture,large_1920x1080,2,4,26
CompletableFuture,large_1920x1080,4,1,0
CompletableFuture,large_1920x1080,8,1,0
CompletableFuture,large_1920x1080,16,4,23
CompletableFuture,large_1920x1080,24,1,0
