implementation,imageSize,threadCount,heapUsedBefore,heapUsedAfter,deltaBytes,deltaMB
Sequential,small_640x480,1,29360128,226492416,197132288,188.00
ManualThread,small_640x480,1,33554432,234881024,201326592,192.00
ManualThread,small_640x480,2,33554432,241172480,207618048,198.00
ManualThread,small_640x480,4,33554432,251658240,218103808,208.00
ManualThread,small_640x480,8,33554432,251658240,218103808,208.00
ManualThread,small_640x480,16,33554432,262144000,228589568,218.00
ManualThread,small_640x480,24,33554432,295698432,262144000,250.00
ThreadPool,small_640x480,1,33554432,236978176,203423744,194.00
ThreadPool,small_640x480,2,33554432,241172480,207618048,198.00
ThreadPool,small_640x480,4,33554432,249561088,216006656,206.00
ThreadPool,small_640x480,8,33554432,260046848,226492416,216.00
ThreadPool,small_640x480,16,33554432,281018368,247463936,236.00
ThreadPool,small_640x480,24,33554432,301989888,268435456,256.00
ForkJoin,small_640x480,1,33554432,232783872,199229440,190.00
ForkJoin,small_640x480,2,33554432,236978176,203423744,194.00
ForkJoin,small_640x480,4,33554432,234881024,201326592,192.00
ForkJoin,small_640x480,8,33554432,247463936,213909504,204.00
ForkJoin,small_640x480,16,33554432,257949696,224395264,214.00
ForkJoin,small_640x480,24,33554432,255852544,222298112,212.00
CompletableFuture,small_640x480,1,33554432,236978176,203423744,194.00
CompletableFuture,small_640x480,2,33554432,239075328,205520896,196.00
CompletableFuture,small_640x480,4,33554432,245366784,211812352,202.00
CompletableFuture,small_640x480,8,33554432,276824064,243269632,232.00
CompletableFuture,small_640x480,16,33554432,281018368,247463936,236.00
CompletableFuture,small_640x480,24,33554432,295698432,262144000,250.00
Sequential,medium_1280x720,1,69206016,304087040,234881024,224.00
ManualThread,medium_1280x720,1,62914560,664797184,601882624,574.00
ManualThread,medium_1280x720,2,67108864,679477248,612368384,584.00
ManualThread,medium_1280x720,4,69206016,687865856,618659840,590.00
ManualThread,medium_1280x720,8,69206016,700448768,631242752,602.00
ManualThread,medium_1280x720,16,69206016,694157312,624951296,596.00
ManualThread,medium_1280x720,24,69206016,750780416,681574400,650.00
ThreadPool,medium_1280x720,1,69206016,668991488,599785472,572.00
ThreadPool,medium_1280x720,2,69206016,673185792,603979776,576.00
ThreadPool,medium_1280x720,4,67108864,394264576,327155712,312.00
ThreadPool,medium_1280x720,8,69206016,578813952,509607936,486.00
ThreadPool,medium_1280x720,16,69206016,702545920,633339904,604.00
ThreadPool,medium_1280x720,24,69206016,744488960,675282944,644.00
ForkJoin,medium_1280x720,1,69206016,662700032,593494016,566.00
ForkJoin,medium_1280x720,2,69206016,668991488,599785472,572.00
ForkJoin,medium_1280x720,4,69206016,671088640,601882624,574.00
ForkJoin,medium_1280x720,8,69206016,685768704,616562688,588.00
ForkJoin,medium_1280x720,16,69206016,687865856,618659840,590.00
ForkJoin,medium_1280x720,24,69206016,683671552,614465536,586.00
CompletableFuture,medium_1280x720,1,69206016,666894336,597688320,570.00
CompletableFuture,medium_1280x720,2,69206016,671088640,601882624,574.00
CompletableFuture,medium_1280x720,4,69206016,683671552,614465536,586.00
CompletableFuture,medium_1280x720,8,69206016,696254464,627048448,598.00
CompletableFuture,medium_1280x720,16,69206016,698351616,629145600,600.00
CompletableFuture,medium_1280x720,24,69206016,742391808,673185792,642.00
Sequential,large_1920x1080,1,130023424,799014912,668991488,638.00
ManualThread,large_1920x1080,1,130023424,1472200704,1342177280,1280.00
ManualThread,large_1920x1080,2,130023424,1482686464,1352663040,1290.00
ManualThread,large_1920x1080,4,130023424,1482686464,1352663040,1290.00
ManualThread,large_1920x1080,8,130023424,1497366528,1367343104,1304.00
ManualThread,large_1920x1080,16,130023424,1516240896,1386217472,1322.00
ManualThread,large_1920x1080,24,130023424,1524629504,1394606080,1330.00
ThreadPool,large_1920x1080,1,130023424,404750336,274726912,262.00
ThreadPool,large_1920x1080,2,130023424,268435456,138412032,132.00
ThreadPool,large_1920x1080,4,130023424,675282944,545259520,520.00
ThreadPool,large_1920x1080,8,130023424,675282944,545259520,520.00
ThreadPool,large_1920x1080,16,130023424,1512046592,1382023168,1318.00
ThreadPool,large_1920x1080,24,130023424,861929472,731906048,698.00
ForkJoin,large_1920x1080,1,130023424,668991488,538968064,514.00
ForkJoin,large_1920x1080,2,130023424,1472200704,1342177280,1280.00
ForkJoin,large_1920x1080,4,130023424,1488977920,1358954496,1296.00
ForkJoin,large_1920x1080,8,130023424,847249408,717225984,684.00
ForkJoin,large_1920x1080,16,130023424,853540864,723517440,690.00
ForkJoin,large_1920x1080,24,130023424,715128832,585105408,558.00
CompletableFuture,large_1920x1080,1,130023424,668991488,538968064,514.00
CompletableFuture,large_1920x1080,2,130023424,536870912,406847488,388.00
CompletableFuture,large_1920x1080,4,130023424,1482686464,1352663040,1290.00
CompletableFuture,large_1920x1080,8,130023424,1493172224,1363148800,1300.00
CompletableFuture,large_1920x1080,16,130023424,822083584,692060160,660.00
CompletableFuture,large_1920x1080,24,130023424,1526726656,1396703232,1332.00
