implementation,imageSize,threadCount,avgNanos,minNanos,maxNanos,avgMs
Sequential,small_640x480,1,6437190,3052300,8119400,6.4372
ManualThread,small_640x480,1,3897310,3453900,5358400,3.8973
ManualThread,small_640x480,2,2372300,2103400,2854300,2.3723
ManualThread,small_640x480,4,2173040,1846300,2652000,2.1730
ManualThread,small_640x480,8,2282870,2091800,2524900,2.2829
ManualThread,small_640x480,16,2901690,2533300,3369600,2.9017
ManualThread,small_640x480,24,3891320,3485400,4410500,3.8913
ThreadPool,small_640x480,1,3665000,3398600,4212700,3.6650
ThreadPool,small_640x480,2,2490050,2084000,3260800,2.4901
ThreadPool,small_640x480,4,2143320,1760000,3005600,2.1433
ThreadPool,small_640x480,8,2341820,2033200,2706300,2.3418
ThreadPool,small_640x480,16,2730200,2511200,3250800,2.7302
ThreadPool,small_640x480,24,3392870,2996300,3980000,3.3929
ForkJoin,small_640x480,1,1792810,1673500,2367900,1.7928
ForkJoin,small_640x480,2,1475790,1270500,1773100,1.4758
ForkJoin,small_640x480,4,1492160,1369800,1822700,1.4922
ForkJoin,small_640x480,8,1410960,1167900,1531800,1.4110
ForkJoin,small_640x480,16,1509010,1312800,1597800,1.5090
ForkJoin,small_640x480,24,1554410,1313700,1826600,1.5544
CompletableFuture,small_640x480,1,3601460,3353200,4096300,3.6015
CompletableFuture,small_640x480,2,2423560,2083100,3183700,2.4236
CompletableFuture,small_640x480,4,2039920,1755700,2574100,2.0399
CompletableFuture,small_640x480,8,2520070,1996600,3547700,2.5201
CompletableFuture,small_640x480,16,3102980,2702300,3767800,3.1030
CompletableFuture,small_640x480,24,3178960,2725500,3676900,3.1790
Sequential,medium_1280x720,1,11865690,8554100,23006100,11.8657
ManualThread,medium_1280x720,1,14126000,9521500,25062200,14.1260
ManualThread,medium_1280x720,2,6746020,5686600,9677700,6.7460
ManualThread,medium_1280x720,4,5005550,4413600,5708900,5.0056
ManualThread,medium_1280x720,8,4701910,4364400,5016500,4.7019
ManualThread,medium_1280x720,16,5813240,5255100,6873700,5.8132
ManualThread,medium_1280x720,24,6333920,5624700,7241500,6.3339
ThreadPool,medium_1280x720,1,9493870,9152100,10912700,9.4939
ThreadPool,medium_1280x720,2,5377500,5141100,5695400,5.3775
ThreadPool,medium_1280x720,4,4869490,3999500,5871200,4.8695
ThreadPool,medium_1280x720,8,4697770,4264300,5214500,4.6978
ThreadPool,medium_1280x720,16,5091920,4780400,5498500,5.0919
ThreadPool,medium_1280x720,24,5614580,5240400,6558200,5.6146
ForkJoin,medium_1280x720,1,5230690,4878600,5911300,5.2307
ForkJoin,medium_1280x720,2,3734730,3357700,4207000,3.7347
ForkJoin,medium_1280x720,4,3708180,3564000,3958300,3.7082
ForkJoin,medium_1280x720,8,4238590,3914000,4996500,4.2386
ForkJoin,medium_1280x720,16,4169970,4015600,4450400,4.1700
ForkJoin,medium_1280x720,24,4273700,3880600,4576500,4.2737
CompletableFuture,medium_1280x720,1,9712480,9473400,10384700,9.7125
CompletableFuture,medium_1280x720,2,5578390,5255200,6151000,5.5784
CompletableFuture,medium_1280x720,4,4484610,4096000,5116800,4.4846
CompletableFuture,medium_1280x720,8,4687430,4298300,5445900,4.6874
CompletableFuture,medium_1280x720,16,5253970,4899500,5955400,5.2540
CompletableFuture,medium_1280x720,24,5722510,5029400,6930400,5.7225
Sequential,large_1920x1080,1,21640080,19324100,35716000,21.6401
ManualThread,large_1920x1080,1,26882010,20634700,50080200,26.8820
ManualThread,large_1920x1080,2,14231080,12091600,23888200,14.2311
ManualThread,large_1920x1080,4,10031610,8645700,15809300,10.0316
ManualThread,large_1920x1080,8,9841670,9165500,11591000,9.8417
ManualThread,large_1920x1080,16,10368920,9291900,11766400,10.3689
ManualThread,large_1920x1080,24,10589390,9944400,11836000,10.5894
ThreadPool,large_1920x1080,1,26878850,21012100,40859100,26.8789
ThreadPool,large_1920x1080,2,13923580,11310400,18663000,13.9236
ThreadPool,large_1920x1080,4,9161160,8326900,10063100,9.1612
ThreadPool,large_1920x1080,8,9238380,8686500,10018700,9.2384
ThreadPool,large_1920x1080,16,9780310,8971700,11356100,9.7803
ThreadPool,large_1920x1080,24,9879380,9436500,10594000,9.8794
ForkJoin,large_1920x1080,1,11645670,10569900,17205800,11.6457
ForkJoin,large_1920x1080,2,8484140,7675900,9772400,8.4841
ForkJoin,large_1920x1080,4,8617600,8019400,10201700,8.6176
ForkJoin,large_1920x1080,8,9163190,8491200,9773600,9.1632
ForkJoin,large_1920x1080,16,9348140,9043500,9844700,9.3481
ForkJoin,large_1920x1080,24,9498580,8817700,10485800,9.4986
CompletableFuture,large_1920x1080,1,23322010,20831200,33591900,23.3220
CompletableFuture,large_1920x1080,2,12860380,11676900,17204500,12.8604
CompletableFuture,large_1920x1080,4,9089440,8227800,11114600,9.0894
CompletableFuture,large_1920x1080,8,8971760,8736900,9409500,8.9718
CompletableFuture,large_1920x1080,16,9500400,9131800,10376200,9.5004
CompletableFuture,large_1920x1080,24,9885150,9487300,10501100,9.8852
